"","timestamp_local","flag","gases.co.ae","gases.co.diff","gases.co.we","gases.no.ae","gases.no.diff","gases.no.we","gases.no2.ae","gases.no2.diff","gases.no2.we","gases.o3.ae","gases.o3.diff","gases.o3.we","geo.lat","geo.lon","met.rh","met.temp","met.wd","met.ws","neph.cscat","neph.pm1","neph.pm10","neph.pm25","opc.bin0","opc.bin1","opc.bin10","opc.bin11","opc.bin12","opc.bin13","opc.bin14","opc.bin15","opc.bin16","opc.bin17","opc.bin18","opc.bin19","opc.bin2","opc.bin20","opc.bin21","opc.bin22","opc.bin23","opc.bin3","opc.bin4","opc.bin5","opc.bin6","opc.bin7","opc.bin8","opc.bin9","opc.pm1","opc.pm10","opc.pm25","sn.x","timestamp.x","url.x","co","lat","lon","rh...58","temp...59","wd","ws","pm1...62","pm10...63","pm25...64","no","no2","o3","pm1...68","pm10...69","pm25...70","rh...71","sn.y","temp...73","timestamp.y","url.y"
"25","2022-07-19T20:24:25",2048,621.2,150.2,771.4,674,17.8,691.8,1646.5,-1.09999999999991,1645.4,1646.5,0.899999999999864,1646.3,NA,NA,49.3,26.5,0,0,275.25,0.6,3,3,5.2757,0.1797,0,0,0,0,0,0,0,0,NA,NA,0.0243,NA,NA,NA,NA,0.0031,0,0,0.003,0,0,0,0.66,0.78,0.73,"MOD-00027","2022-07-20T00:24:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732915",604.63,NA,NA,49.3,26.5,0,0,4764,4766,4765,13.48,9.97,15.95,0.97,1.03,0.99,49.3,"MOD-00027",26.5,"2022-07-20T00:24:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732863"
"26","2022-07-19T20:25:25",2048,621.7,149.6,771.3,673.4,17.8000000000001,691.2,1646,-0.700000000000045,1645.3,1646.6,1,1646.3,NA,NA,49.3,26.5,0,0,295,1.1,3.1,3.1,5.2774,0.2167,0,0,0,0,0,0,0,0,NA,NA,0.0238,NA,NA,NA,NA,0.0029,0,0,0,0,0,0,0.67,0.7,0.7,"MOD-00027","2022-07-20T00:25:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732916",602.16,NA,NA,49.3,26.5,0,0,4764,4766,4765,13.48,12.27,16.24,1.04,1.04,1.04,49.3,"MOD-00027",26.5,"2022-07-20T00:25:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732864"
"27","2022-07-19T20:26:25",2048,619.9,150.7,770.6,673.1,18.1,691.2,1646.4,-1.10000000000014,1645.3,1646.5,0.900000000000091,1646.2,NA,NA,49.3,26.5,0,0,270.125,0.5,3.1,3.1,5.1421,0.2027,0,0,0,0,0,0,0,0,NA,NA,0.0176,NA,NA,NA,NA,0,0.003,0.0029,0,0,0,0,0.65,0.72,0.71,"MOD-00027","2022-07-20T00:26:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732917",606.68,NA,NA,49.3,26.5,0,0,4764,4766,4765,13.67,9.97,15.95,0.95,0.98,0.98,49.3,"MOD-00027",26.5,"2022-07-20T00:26:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732865"
"28","2022-07-19T20:27:25",2048,620.7,149.7,770.4,673.8,18,691.8,1646.3,-1,1645.3,1646.5,1.10000000000014,1646.4,NA,NA,49.3,26.5,0,0,274.75,0.6,2.5,2.5,5.1127,0.2044,0,0,0,0,0,0,0,0,NA,NA,0.0173,NA,NA,NA,NA,0.0029,0.0058,0,0,0,0,0,0.65,0.7,0.7,"MOD-00027","2022-07-20T00:27:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732918",602.57,NA,NA,49.3,26.5,0,0,4764,4766,4765,13.63,10.11,16.53,0.97,0.98,0.98,49.3,"MOD-00027",26.5,"2022-07-20T00:27:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732866"
"29","2022-07-19T20:28:25",2048,621.3,149.4,770.7,673.5,18,691.5,1646.6,-1.09999999999991,1645.5,1646.4,0.700000000000045,1646.2,NA,NA,49.4,26.5,0,0,270.375,0.6,3.4,3,5.1198,0.1971,0,0,0,0,0,0,0,0,NA,NA,0.0243,NA,NA,NA,NA,0,0.0059,0,0,0,0,0,0.65,0.7,0.7,"MOD-00027","2022-07-20T00:28:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732919",601.27,NA,NA,49.4,26.5,0,0,4764,4766,4765,13.59,9.97,15.33,0.95,0.96,0.96,49.4,"MOD-00027",26.5,"2022-07-20T00:28:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732867"
"30","2022-07-19T20:29:25",2048,620.4,150.9,771.3,673.4,18,691.4,1646.2,-0.799999999999955,1645.4,1646.3,0.799999999999955,1646.2,NA,NA,49.4,26.5,0,0,297.375,0.5,2.5,2.4,5.1594,0.2031,0,0,0,0,0,0,0,0,NA,NA,0.0242,NA,NA,NA,NA,0,0.003,0,0,0,0,0,0.66,0.69,0.69,"MOD-00027","2022-07-20T00:29:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9732920",607.43,NA,NA,49.4,26.5,0,0,4764,4766,4765,13.59,11.96,15.62,1.05,1.05,1.05,49.4,"MOD-00027",26.5,"2022-07-20T00:29:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9732868"
"31","2022-07-19T20:30:25",2048,620.8,149.8,770.6,673.5,18.1,691.6,1646.4,-1,1645.4,1646.5,0.899999999999864,1646.3,NA,NA,49.3,26.5,0,0,274.5,0.5,4,3.5,5.188,0.2205,0,0,0,0,0,0,0,0,NA,NA,0.015,NA,NA,NA,NA,0,0,0,0,0,0,0,0.66,0.67,0.67,"MOD-00027","2022-07-20T00:30:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9733280",602.99,NA,NA,49.3,26.5,0,0,4764,4766,4765,13.67,10.11,15.95,0.97,0.97,0.97,49.3,"MOD-00027",26.5,"2022-07-20T00:30:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9733228"
"32","2022-07-19T20:31:25",2048,620.2,150.4,770.6,674,17.9,691.9,1646.4,-1.10000000000014,1645.3,1646.3,0.900000000000091,1646.2,NA,NA,49.3,26.5,0,0,290.75,1.2,3.5,3.5,5.2096,0.1816,0,0,0,0,0,0,0,0,NA,NA,0.015,NA,NA,NA,NA,0,0,0,0,0,0,0,0.65,0.66,0.66,"MOD-00027","2022-07-20T00:31:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9733281",605.45,NA,NA,49.3,26.5,0,0,4764,4766,4765,13.51,9.97,15.95,1.02,1.02,1.02,49.3,"MOD-00027",26.5,"2022-07-20T00:31:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9733229"
"33","2022-07-19T20:32:25",2048,621.6,148.4,770,674.1,17.8,691.9,1646.3,-1,1645.3,1646.5,0.900000000000091,1646.2,NA,NA,49.3,26.5,0,0,286.75,0.6,3.9,3.9,5.9587,0.211,0,0,0,0,0,0,0,0,NA,NA,0.0352,NA,NA,NA,NA,0.0032,0,0,0,0,0,0,0.76,0.79,0.79,"MOD-00027","2022-07-20T00:32:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9733282",597.24,NA,NA,49.3,26.5,0,0,4764,4766,4765,13.48,10.11,15.95,1.01,1.01,1.01,49.3,"MOD-00027",26.5,"2022-07-20T00:32:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9733230"
"34","2022-07-19T20:33:25",2048,620.5,149.9,770.4,673.9,18.1,692,1646.5,-1,1645.5,1646.6,0.799999999999955,1646.3,NA,NA,49.3,26.5,0,0,272.75,0.8,3.1,3.1,5.3893,0.1924,0,0,0,0,0,0,0,0,NA,NA,0.0244,NA,NA,NA,NA,0,0.0061,0,0,0,0,0,0.68,0.73,0.73,"MOD-00027","2022-07-20T00:33:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/raw/9733283",603.4,NA,NA,49.3,26.5,0,0,4764,4766,4765,13.67,10.11,15.66,0.96,0.97,0.97,49.3,"MOD-00027",26.5,"2022-07-20T00:33:25","https://api.quant-aq.com/device-api/v1/devices/MOD-00027/data/9733231"
